Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
100	-4127.422	-4154.586	27.16418	37.54329	11.77224	0.2033261	0.6436031	0.000237107	0.00976771	0.0373991	0.0182687	0.0122704	0.00243777	0.00803095	0.0125116	0.000174992	0.0125057	0.00773064	0.0177219	0.00442452	0.00748349	0.00578913	0.00649518	0.0223962	0.0127563	0.0154972	0.010645	0.0563581	0.0265827	0.0212549	0.00574925	0.00425073	0.00563528	0.00445328	0.00311841	0.00940384	0.00880648	0.00952512	0.00581334	0.00629894	0.0096466	0.00205859	0.0118149	0.00841754	0.00227657	0.00891095	0.00815169	0.0386751	0.000146688	0.0131524	0.02181419	0.05995369	0.010865	0.429178	0.00848362	0.0114464	0.533863	0.00616359	0.09453615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	47.21108	0.0302758	0.000594713	0.0357161	0.392283	3.57141	0.0622079	0.33566	0.902032	2.7001	0.31565	0.294365	0.137803	0.252183	0.1544898	37.1942	15.9542	22.675	7.40749	8.25549	16.8749	1.52035	5.17134	11.7722	15.4394	5.29516	0.178298	5.47546	9.69881	0.6119247
110	-4109.043	-4139.272	30.22985	46.33458	11.77224	0.172378	0.700096	5.86707e-05	0.0225292	0.012239	0.0087386	0.00967994	0.00397465	0.00479282	0.00883101	0.000312231	0.00606812	0.0108669	0.00494624	0.0028076	0.00757755	0.0082551	0.005052	0.0212179	0.00958623	0.0141174	0.0121764	0.0384033	0.0184549	0.0123453	0.00192934	0.00377355	0.00530334	0.0102704	0.00125607	0.0094701	0.0176893	0.0116632	0.00427657	0.00818779	0.0204591	0.000656538	0.0137894	0.00343384	0.000859815	0.0231229	0.00775713	0.0271216	0.000330569	0.009210964	0.01830339	-0.002277603	0.00651311	0.514803	0.00510336	0.00912847	0.460393	0.00405861	0.1269375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	49.59065	0.03218163	0.000175611	0.0195117	0.307861	3.67245	0.0742088	0.363576	0.924904	2.63731	0.312133	0.291636	0.136268	0.259963	0.1246599	37.1942	15.9542	22.7912	7.40749	8.25549	16.8749	0.808689	8.18509	11.7722	15.4394	5.29082	0.178298	6.43613	9.69994	1.018271
120	-4108.508	-4147.702	39.19384	49.33935	11.77224	0.1657726	0.7912127	8.01511e-05	0.016483	0.0132445	0.000872763	0.0109527	0.00209123	0.00637862	0.0170844	0.000328708	0.0100748	0.0111629	0.00260887	0.00437399	0.00697488	0.00995756	0.00400768	0.0054436	0.00719995	0.0162461	0.00615528	0.00844006	0.00478822	0.0133341	0.00146619	0.00481558	0.00621293	0.00705595	0.00154221	0.00453916	0.00598402	0.0140666	0.0259545	0.00125242	0.00859964	0.000273306	0.0213578	0.00460833	0.000850886	0.0183819	0.00272902	0.0160425	0.00072505	0.007220711	0.02832146	0.01345211	0.00757314	0.569259	0.00402026	0.00264884	0.410725	0.00577425	0.08303275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	50.38016	0.04283022	0.000127585	0.0166481	0.288728	3.6945	0.0936875	0.403572	0.95449	2.54825	0.271588	0.324614	0.122543	0.281256	0.09648486	37.1942	15.9542	22.7912	7.57731	8.25549	16.8749	1.60085	8.25054	11.7722	20.0168	3.33534	0.178298	6.43613	9.69994	0.860578
130	-4117.845	-4161.676	43.83054	29.45249	11.78063	0.1908647	0.9184074	0.000120571	0.0296219	0.011567	0.00112132	0.00201931	0.000249447	0.0095487	0.0135447	0.000471471	0.0101342	0.00732606	0.0015038	0.000946991	0.00550147	0.00980547	0.005165	0.00775356	0.00389472	0.0181538	0.011439	0.00389011	0.0182049	0.0106751	0.00126957	0.00423596	0.00799555	0.00170039	0.004776	0.00637087	0.00846298	0.00731446	0.0129117	0.00240339	0.00649344	0.00111025	0.0122394	0.00527927	0.00357406	0.00896659	0.0116958	0.0195316	0.000433349	0.007775618	0.01125999	0.05294006	0.00947024	0.476986	0.00873193	0.00489289	0.488368	0.0115509	0.09146215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	50.54348	0.05238741	0.000381693	0.0286771	0.359398	3.61154	0.1204	0.450774	0.985045	2.44378	0.308657	0.295139	0.15612	0.240084	0.1444022	37.1942	15.9542	22.7912	8.02323	8.25549	16.8749	1.60085	5.09285	11.7806	18.4294	4.93491	0.225955	4.95414	9.56557	0.6333847
140	-4105.906	-4149.336	43.42968	49.89401	11.78063	0.1912835	1.09371	0.000165281	0.0206199	0.00862376	0.00765245	0.00775362	0.000229048	0.00995712	0.0134236	0.00140451	0.00955473	0.00237423	0.00195617	0.00210554	0.00772698	0.00824858	0.00309505	0.0092659	0.00670014	0.0163379	0.0124116	0.00292054	0.00964138	0.0107589	0.00196128	0.00395844	0.00386547	0.00251612	0.00192582	0.00490718	0.00963358	0.00361104	0.0101853	0.00308962	0.0155594	0.00209372	0.0145634	0.00724677	0.00392596	0.00879791	0.00288914	0.0239478	0.000686381	0.006219513	0.01346255	0.02650243	0.0112918	0.453312	0.00794079	0.00269989	0.518468	0.00628714	0.07849573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	51.32611	0.04508728	0.00038779	0.0289031	0.360528	3.61018	0.155263	0.503213	1.01394	2.32758	0.309668	0.301858	0.142924	0.24555	0.1049982	37.1942	14.497	22.7219	7.41979	8.25549	16.8749	2.27931	9.19518	11.7806	18.4294	5.27198	0.225955	6.6405	9.69708	0.7475915
150	-4103.696	-4136.901	33.20459	47.15248	11.7989	0.1792383	1.108042	0.000783283	0.0299733	0.0173197	0.00907907	0.0130749	0.000226882	0.0139124	0.00545251	0.00214889	0.0173087	0.00743245	0.00190031	0.00154103	0.00798665	0.00592515	0.00382361	0.00437975	0.00857328	0.0173133	0.012419	0.0028019	0.00821802	0.0159427	0.00301065	0.00607915	0.00839758	0.0033619	0.00288918	0.00739814	0.0131972	0.0113103	0.0093132	0.00915062	0.00831075	0.00786355	0.00790457	0.0124454	0.00220271	0.0129114	0.00356696	0.0233079	0.00027237	0.008563199	0.02020246	0.03898965	0.0122026	0.532673	0.00698546	0.00180236	0.444731	0.0016057	0.08884185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49.57242	0.04721518	0.000238676	0.0227217	0.32735	3.64969	0.157993	0.50698	1.01583	2.3192	0.316277	0.265366	0.135947	0.28241	0.1278315	35.1854	14.497	22.7219	7.41979	8.25549	16.8749	0.533346	8.62954	11.7989	18.0794	3.99967	0.225955	6.6405	9.69708	0.6949919
160	-4108.168	-4141.482	33.31438	45.99786	11.77753	0.1554101	0.8400465	0.00161908	0.0161456	0.0155184	0.00627666	0.0118154	2.81173e-05	0.00802406	0.00152976	0.00197641	0.0141215	0.00405564	0.00513851	0.00119396	0.00973731	0.0040686	0.00307573	0.00268396	0.00488648	0.019604	0.0112104	0.000711167	0.00533222	0.0136017	0.000266523	0.0072573	0.01184	0.00263583	0.00583088	0.00613313	0.0191883	0.0121446	0.0261118	0.0144507	0.00976483	0.00651081	0.00842954	0.0259636	0.00259583	0.0113023	0.00550283	0.00137101	0.000223553	0.008775531	0.01816489	0.02871446	0.0134808	0.546013	0.00701067	0.00530598	0.424485	0.00370548	0.1174194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	49.51375	0.03659495	7.31635e-05	0.0126264	0.258077	3.72922	0.104047	0.422771	0.967462	2.50572	0.311473	0.296327	0.124763	0.267437	0.1461339	35.1854	14.497	22.7219	7.80764	8.25549	16.8749	2.56314	8.18943	11.7775	18.0794	5.08798	0.225955	7.69985	9.69844	0.8035058
170	-4120.02	-4147.147	27.12712	31.64617	11.77753	0.1992639	1.104507	0.00424036	0.0179955	0.0121176	0.0226175	0.0484459	6.64418e-05	0.0106252	0.00157838	0.0150834	0.0211872	0.00538953	0.00695635	0.00114734	0.00682077	0.00294277	0.00250415	0.000978883	0.00480218	0.0166711	0.0104799	0.00117703	0.00844227	0.0337219	0.000498651	0.00484451	0.0120401	0.00721439	0.00417819	0.00819281	0.0171895	0.00752752	0.0111728	0.021513	0.0123747	0.0242228	0.00548776	0.0179349	0.00723938	0.0106252	0.0110584	0.00222443	0.000506563	0.009334056	0.0110807	0.01142987	0.01169	0.621896	0.00130999	0.00931262	0.345857	0.00993485	0.1132267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	50.13625	0.04437556	0.000517821	0.0333519	0.381734	3.5844	0.157321	0.506058	1.01537	2.32125	0.292463	0.302416	0.121657	0.283464	0.1246566	37.1133	14.3259	20.8138	7.80764	8.25549	16.707	1.65436	7.97361	11.7775	20.986	5.14701	0.225955	7.69985	9.69844	0.9083091
180	-4122.882	-4140.158	17.27603	33.98037	11.77753	0.1997948	0.4649742	0.00255278	0.0147458	0.0134024	0.0152289	0.0300428	4.92451e-05	0.0147034	0.00495311	0.0353509	0.0192814	0.00809897	0.00957672	0.00259047	0.00957555	0.00617782	0.00281079	0.00165661	0.00535893	0.0188125	0.0152929	0.000443657	0.0311129	0.0280832	0.00141333	0.0129405	0.00707567	0.0168761	0.00181758	0.0074523	0.0309347	0.00824468	0.0110476	0.0406803	0.0233968	0.0279397	0.00719846	0.019702	0.00533276	0.0182151	0.00618793	0.00147544	0.00105738	0.01165299	0.01246003	0.03700261	0.0135367	0.591214	0.000561345	0.0021032	0.38325	0.00933441	0.1099905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	49.94878	0.05239038	0.000527445	0.0336572	0.383122	3.58269	0.0270944	0.228436	0.793009	2.95146	0.282595	0.324189	0.123205	0.270011	0.1469931	37.1902	14.5228	20.8138	7.80764	7.75619	16.707	1.66189	6.77417	11.7775	20.986	5.02472	0.225955	7.69985	9.69844	0.7482698
190	-4137.606	-4147.378	9.771759	25.85269	11.78334	0.1809063	0.4380265	0.00679158	0.0131598	0.0131323	0.0717382	0.00958925	3.17721e-05	0.0185168	0.020272	0.0710931	0.0286404	0.0232677	0.0650448	0.00575585	0.0125162	0.00834389	0.00492381	0.00258948	0.00702129	0.017876	0.0170215	0.000593171	0.0176278	0.0123812	0.00244293	0.012141	0.00530877	0.00977736	0.00134093	0.0174813	0.0521343	0.00698532	0.0112142	0.062386	0.0268887	0.0269421	0.00924413	0.011999	0.00216033	0.031295	0.00728667	0.00213447	0.00102015	0.01533803	0.01477453	-0.01185936	0.0134447	0.543831	0.000230319	0.000407699	0.43365	0.00843634	0.1603605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	49.15658	0.03229138	0.000256258	0.0235372	0.332025	3.64418	0.0225607	0.209548	0.769356	2.99853	0.287289	0.310914	0.13182	0.269976	0.1485011	37.1902	14.5228	20.8138	7.64038	7.75619	16.6626	2.36185	7.14059	11.7833	20.986	5.29797	0.225955	5.78506	9.69844	1.07986
