Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
100	-4135.281	-4164.591	29.31002	51.4798	11.66799	0.2036448	0.2703534	0.00961438	0.00672974	0.00292008	0.000502837	0.00316868	0.000256949	0.00395392	0.00255664	0.00201314	0.00296858	0.00348386	0.00231522	0.00728117	0.00436681	0.00268389	0.00147003	0.0019123	0.0027274	0.00178976	0.00626246	0.000211658	0.00174696	0.0161323	0.000125909	0.00687882	0.0014546	0.00139223	0.00522498	0.0114217	0.00449685	0.0111053	0.0202866	0.00884989	0.0063095	0.00372985	0.000444646	0.00347694	0.000429278	0.00139664	0.00154674	0.00190923	0.00565193	0.003977474	0.00486641	0.01453646	0.0159263	0.587772	0.0017858	0.00122849	0.376513	0.0167738	0.1474245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.26313	0.01172507	0.000601069	0.0359043	0.393103	3.57039	0.00319898	0.0817335	0.54249	3.37258	0.281933	0.296158	0.130661	0.291248	0.1619609	16.2726	22.5208	14.1991	7.74908	6.05798	5.60545	11.668	1.12104	6.5963	21.8701	7.85832	33.9	0.027	3.59665	0.9102472
110	-4132.735	-4162.646	29.91054	53.31867	11.66799	0.1796305	0.1672988	0.00807525	0.00731354	0.00333367	0.000591933	0.00216754	0.000342965	0.0026714	0.0026088	0.00231656	0.00558295	0.00473995	0.00107124	0.00238225	0.00293297	0.00289104	0.00239288	0.00223271	0.00347475	0.00205512	0.00308904	0.000175655	0.00144821	0.00708117	0.000116451	0.00618264	0.00433606	0.00140352	0.00998374	0.0093433	0.00354681	0.0257582	0.00576845	0.0206745	0.00396438	0.00285388	0.000907256	0.00433249	0.000621602	0.00310446	0.00136957	0.00346327	0.00417309	0.004141283	0.003015959	0.01950526	0.0141616	0.493407	0.00157416	0.00713266	0.476697	0.00702765	0.1114869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.41852	0.01295563	0.000242727	0.0229122	0.328452	3.64839	0.000137668	0.0172895	0.293179	3.68939	0.313493	0.294346	0.12035	0.271811	0.1309921	16.2726	22.5208	15.3671	6.72849	6.93439	5.60545	11.668	1.12104	6.5963	21.8701	7.85832	33.9	0.027	2.67682	0.8510959
120	-4123.308	-4154.88	31.57145	51.85501	11.66799	0.1667524	0.07380586	0.00874047	0.010192	0.00102289	0.000832014	0.00251334	0.00146265	0.00453561	0.00333211	0.00201579	0.00308685	0.00463539	0.00130812	0.00184873	0.00944111	0.00442608	0.00222042	0.00228009	0.00329966	0.00299074	0.00598536	0.000209037	0.00281321	0.00400103	0.000123015	0.00622926	0.00343811	0.00117152	0.00970506	0.0101783	0.00683262	0.0120926	0.0038837	0.0249652	0.00394753	0.00720606	0.000734126	0.00415645	5.73438e-05	0.00648247	0.00747046	0.00158694	0.00950653	0.00522468	0.002158401	0.02815604	0.016943	0.476858	0.000514047	0.00400607	0.489128	0.0125507	0.1145463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.4795	0.01769416	0.000133991	0.0170584	0.291587	3.69122	3.85927e-09	9.25127e-05	0.0338479	3.96606	0.290087	0.310507	0.137937	0.261468	0.1427024	16.2726	22.5208	15.3671	6.36899	6.08934	7.43737	11.668	2.52134	6.5963	21.8701	7.85832	33.9	0.027	4.06674	0.8026939
130	-4129.775	-4151.167	21.3917	52.62954	11.66799	0.178735	0.04463348	0.00629964	0.00898295	0.00116797	0.00123805	0.0036474	0.00256546	0.00992007	0.00333779	0.00318205	0.0408163	0.00509845	0.00297495	0.00468637	0.00624164	0.00335789	0.00167326	0.00189567	0.00510937	0.00433656	0.00653502	0.000202467	0.00739239	0.00578783	0.000438738	0.006249	0.00244559	0.00168593	0.00333352	0.00710994	0.00806587	0.00834077	0.00748789	0.0413719	0.0150858	0.00269975	0.00390869	0.0207841	4.11414e-05	0.00457061	0.016126	0.00488043	0.0102075	0.007170925	0.0023118	0.03758658	0.0140277	0.510917	0.000894978	0.00176507	0.459806	0.0125898	0.08932877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.09677	0.02117429	0.000233551	0.0224783	0.325934	3.65135	1.8071e-14	2.00679e-07	0.00265479	3.99735	0.301539	0.320786	0.118846	0.258829	0.1269153	16.2726	20.2465	15.3671	6.36899	6.08934	7.43737	11.668	1.83081	6.94386	21.8701	8.51736	35.5432	0.121601	3.56313	0.7038453
140	-4129.096	-4158.147	29.05105	52.24533	11.60515	0.1580597	0.01092267	0.0126522	0.00483739	0.00275804	0.000410644	0.00852911	0.00345063	0.00358692	0.00786289	0.00254787	0.0205938	0.00514429	0.00280998	0.00531739	0.00724932	0.00179916	0.0023352	0.00198302	0.00635893	0.00410334	0.00624335	0.000380237	0.00754205	0.00217161	0.00138703	0.00582748	0.00312657	0.000978312	0.00888441	0.00987211	0.00598815	0.00499534	0.00841483	0.0164848	0.0115579	0.000599539	0.0130134	0.00411671	0.000111663	0.00242689	0.0104185	0.0038164	0.0127195	0.005030545	0.003693108	0.003315741	0.0125091	0.558387	0.00185114	0.00433991	0.411845	0.0110675	0.1522354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.90808	0.02662827	8.49308e-05	0.0135988	0.26598	3.72034	4.24856e-56	3.08597e-28	6.12519e-12	4	0.324278	0.306308	0.124109	0.245305	0.1555511	16.2726	20.2465	15.3671	8.1097	6.08934	5.17529	11.6052	1.83081	7.24159	21.8701	7.82796	35.5432	0.121601	3.93064	0.9786839
150	-4138.058	-4149.927	11.86844	51.19302	11.60515	0.241731	0.01346949	0.00236004	0.0178873	0.00672409	0.000798802	0.00636899	0.00683055	0.00179372	0.00890299	0.00201324	0.0255418	0.00687544	0.00105175	0.0052212	0.013446	0.00468193	0.00526673	0.00223136	0.0045867	0.00785059	0.00940561	0.00143215	0.0078595	0.00322837	0.00150756	0.0151497	0.00337101	0.003211	0.00677378	0.0259088	0.00349529	0.00489307	0.0157132	0.0376109	0.0121048	0.00021046	0.0307444	0.00730121	0.000333725	0.00283109	0.00489288	0.015875	0.0236978	0.008610109	0.002530589	0.001088023	0.0163296	0.511593	0.00788596	0.0102129	0.446981	0.00699728	0.1549679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.44334	0.01762326	0.00174852	0.0607866	0.48372	3.45374	1.12262e-45	5.01522e-23	8.90685e-10	4	0.313678	0.299599	0.129196	0.257526	0.156056	16.2726	18.8081	15.3671	8.1097	7.18423	6.27908	11.6052	1.83081	5.18882	21.8701	7.82796	35.5432	0.121601	3.93064	0.993028
160	-4138.666	-4159.076	20.40956	48.52788	11.60515	0.2210846	0.00780477	0.00276804	0.0093428	0.00785072	0.00261768	0.0115084	0.00801429	0.000835719	0.00939446	0.00205102	0.00859388	0.00717679	0.000396199	0.00788784	0.0206533	0.00491882	0.00453574	0.00207711	0.0063947	0.00951769	0.0137251	0.00165599	0.00188227	0.00175797	0.00103654	0.0258486	0.00329317	0.0018634	0.00776492	0.0075147	0.00373307	0.00247751	0.0102573	0.0105719	0.0105391	0.000708519	0.0169119	0.0137162	0.000490975	0.00176674	0.00435472	0.0205255	0.0172073	0.007365218	0.002518601	-0.008922818	0.013165	0.492505	0.0054452	0.0191227	0.462226	0.00753613	0.19718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.46834	0.02100507	0.00102603	0.0467556	0.436422	3.5158	4.06178e-78	3.0182e-39	1.65137e-16	4	0.310452	0.304811	0.136668	0.248069	0.1882572	16.2726	16.3035	15.3671	8.1097	6.69239	4.9722	11.6052	1.83081	5.18882	21.8701	7.82796	35.5432	0.121601	2.95561	1.047397
170	-4123.421	-4153.43	30.00902	48.52888	11.60515	0.1899187	0.002027569	0.00570933	0.00867279	0.00517115	0.0023454	0.0126133	0.00132376	0.00133056	0.00567828	0.00966945	0.00536586	0.00740907	0.000958706	0.0183053	0.0185818	0.00403221	0.00258929	0.00302062	0.00437972	0.0112906	0.0108097	0.0063644	0.00177325	0.0010168	0.00467309	0.0096491	0.0051207	0.00264676	0.0049434	0.00646968	0.0136406	0.0017299	0.00619642	0.00927923	0.0138956	0.00232047	0.00577212	0.00376718	0.00092258	0.000684562	0.00158215	0.0122655	0.00401096	0.005109462	0.003157514	-0.001077539	0.010005	0.548318	0.00531445	0.0151808	0.415154	0.0060277	0.1997433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.37409	0.01547011	0.000368179	0.0281695	0.356838	3.61462	6.49023e-298	3.81717e-149	4.03933e-62	4	0.28736	0.317609	0.118289	0.276742	0.1986658	16.2726	18.2579	15.3671	8.1097	6.69239	4.9722	11.6052	1.04096	5.22288	21.8701	7.82796	35.5432	0.121601	5.09744	1.005424
180	-4115.962	-4160.146	44.18449	51.64599	11.60515	0.2440857	0.00216105	0.00323111	0.00484386	0.0067364	0.00175053	0.00232372	0.00128735	0.00107957	0.00352677	0.00303429	0.00132007	0.00675581	0.000311984	0.0113783	0.0055331	0.00484331	0.00178856	0.00228678	0.00498269	0.00656645	0.00727312	0.00259134	0.00240773	0.000464719	0.0041044	0.00460225	0.0020966	0.00179383	0.00276569	0.00394899	0.0151825	0.00108844	0.0039605	0.023029	0.00296141	0.00120897	0.00298229	0.00464618	0.000960595	0.000215729	0.00173315	0.00738622	0.00220082	0.004285407	0.00324785	0.009273043	0.00864784	0.518186	0.0105472	0.021069	0.437943	0.00360775	0.1899069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.10565	0.0158794	0.00184748	0.0624533	0.488846	3.44685	1.42269e-279	5.65147e-140	2.58447e-58	4	0.29652	0.303818	0.128237	0.271426	0.1991799	16.2726	21.4583	15.3671	8.11655	8.98343	6.25837	11.6052	1.04096	6.42375	21.8701	7.82796	35.5432	0.121601	5.09744	0.9534439
190	-4111.035	-4155.509	44.47438	50.16174	11.60515	0.1996168	0.0009249579	0.00478777	0.00661338	0.00375342	0.0107123	0.0018235	0.000908317	0.00557469	0.00332522	0.00399361	0.00528768	0.00781981	0.000216499	0.0064988	0.00324777	0.00448184	0.00253759	0.00356168	0.00451446	0.00572028	0.00618474	0.00057208	0.00132553	0.00121448	0.00660322	0.0036742	0.00201035	0.00249969	0.00240727	0.00502887	0.0103616	0.00140906	0.00430398	0.0113757	0.00421675	0.0018227	0.00208242	0.0102039	0.00260051	0.000160507	0.000832098	0.0099916	0.0034764	0.005485941	0.003015022	0.01496872	0.00445893	0.555797	0.00926221	0.0164536	0.409969	0.00405906	0.1790595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.98613	0.01627346	0.000524205	0.0335547	0.382657	3.58326	0	0	1.41684e-135	4	0.295841	0.30334	0.12982	0.270999	0.1940282	16.2726	21.4583	15.3671	8.11655	9.46874	5.63737	11.6052	2.57532	6.9022	21.8701	8.53906	35.5432	0.0495009	3.28062	0.9228529
